,name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
214,Staind - Right Here [OFFICIAL VIDEO]-b4_bl8uTonQ.mp3,112.5,338,0.5247981732342331,0.0594102256000042,2398.1834682237763,2445.65798800974,4760.8359319447745,0.0653177149687426,165.91847908605553,-56.45839482976743,58.92187007137002,8.014893446895979,19.79860436020371,6.478814831829299,-5.087518437686192,17.85972760462039,-10.58607155890924,11.037113620798971,2.876317738063669,Metal
215,Tool - Parabola-_z2O289Jemo.mp3,137.1951219512195,413,0.5756101176894531,0.1098102331161499,1018.8807307169307,1671.9969972650306,1814.9091164968,0.01804068439462847,168.06552813466482,25.273967967651945,50.47812708859105,24.070096930719064,14.042534385617843,12.545696421824866,-2.4539590516935688,7.039967404854847,-5.56576863662247,-1.338701345901041,4.946298956613042,Metal
216,Black Sabbath 'Iron Man'-5s7_WbiR79E.mp3,151.9990808823529,442,0.5430558091953042,0.03759743645787239,2471.541439697509,2900.762077402601,5256.022384218387,0.0471155188278025,145.3208009657176,-39.51240134382928,65.29192741738008,4.820555676107791,22.354276314366153,-18.389517086533715,2.4048162367972776,8.030091794502628,14.0608023655986,11.073526662822218,1.2801597438102246,Metal
217,Chevelle - The Red-trinU3VD1Zo.mp3,140.625,410,0.5487994305488612,0.10912423580884932,3108.7288068796965,3304.887786843732,6737.292419708462,0.06588041310514932,147.4946467220994,-42.36167663262257,55.36137059494238,-10.022943596636829,31.072990646602825,-12.202458946018915,15.117144476313198,3.313966893969311,1.2691857450606256,8.043306612797478,-1.6353611408318605,Metal
218,Slipknot - All Out Life [OFFICIAL MUSIC VIDEO]-wLoYIBEZEfw.mp3,106.13207547169813,314,0.6065255385687087,0.25636401772499084,3462.2870850760823,3427.4505857853196,7052.525128140554,0.0785127085061626,129.8776209966043,-42.83453005985098,55.65081059134713,-12.655709620081053,28.201478229360532,-8.900626199227935,17.285496970614766,-3.8019051285232597,8.419130211084354,0.4287040668144328,3.2713280280882917,Metal
219,Bring Me The Horizon - 'Shadow Moses' (Full Album Stream)-HJEahE-4juQ.mp3,143.5546875,392,0.5490508884713834,0.2847366034984589,2783.4334487175024,2915.6245090794155,5565.241347746954,0.06824278462412926,142.88643073960662,-51.34749401420192,45.9791177324313,-8.261829153936043,24.769945738341065,-7.636145477251668,10.386776478911488,0.5954400247743327,4.189835365262083,1.8654462885105831,3.882070593240635,Metal
220,Tool - Vicarious (Live DVD 2014)-GCmrLoYeO7E.mp3,117.1875,341,0.5401226952842223,0.17308999598026276,3466.6367199663737,3165.221376689983,6661.728841994548,0.09018733496348363,132.40701138645758,-67.98621614957712,62.49771113253604,-4.488070273223679,27.226081013958346,-9.927997983369849,22.58350087426899,-1.3938859486284572,-1.834442525825542,8.164677792824968,-2.480257254117249,Metal
221,Faint (Official Video) - Linkin Park-LYU-8IFcDPw.mp3,135.99917763157896,364,0.4516832857223689,0.14945292472839355,3144.4717248011034,3184.0693568920924,6289.960631119493,0.08235734571949235,130.0876603252211,-59.41892246440504,33.538140354401584,-20.690244481374656,22.282287274003888,-18.562706514254746,14.90624912992526,-7.894861903683356,5.843925013492235,-1.6669953799791286,-0.2889348489458927,Metal
222,Toto - Africa (metal cover by Leo Moracchioli feat. Rabea & Hannah)-MH9FyLsfDzw.mp3,105.46875,312,0.5262947395748558,0.2762642204761505,2799.6348881759222,3352.4497234100563,6224.3262512395995,0.05524834316950465,147.50258514020203,-31.84790602922446,31.199908194521623,-12.417005966547661,26.21131868720661,-17.49851950486638,17.776559101275602,-0.26975047383013484,11.719698028041305,0.13463856215587586,4.669761642062649,Metal
223,IN THIS MOMENT - Whore (OFFICIAL VIDEO)-GurkREc-q4I.mp3,90.66611842105264,186,0.3999389742087181,0.2206120193004608,2493.5170524100367,2800.551976211941,5250.194641680171,0.0586698707289248,149.44032660438978,-28.696006008283657,28.01044907108178,-8.319069266755863,25.938471522321528,-10.000583494612508,14.009899039135703,-3.1423413899491632,7.76108887088822,1.2908146783704957,3.3116870232209235,Metal
